cache_size, block_size, associativity, inst_hit, data_hit
8192,8,2,0.9021,0.9581
8192,16,2,0.9447,0.9744
8192,32,2,0.9658,0.9835
8192,64,2,0.9772,0.9889
8192,128,2,0.9838,0.9919
8192,256,2,0.9875,0.9929
8192,512,2,0.9898,0.9913
8192,1024,2,0.9915,0.9890
8192,2048,2,0.9913,0.9830
8192,4096,2,0.9917,0.9682
