cache_size, block_size, associativity, inst_hit, data_hit
8192,128,2,0.9737,0.9385
8192,128,4,0.9875,0.9929
8192,128,8,0.9965,0.9971
8192,128,16,0.9977,0.9972
8192,128,32,0.9977,0.9972
8192,128,64,0.9977,0.9972
