cache_size, block_size, associativity, inst_hit, data_hit
8192,8,2,0.9997,0.9595
8192,16,2,0.9999,0.9797
8192,32,2,0.9999,0.9898
8192,64,2,1.0000,0.9949
8192,128,2,1.0000,0.9974
8192,256,2,1.0000,0.9986
8192,512,2,1.0000,0.9987
8192,1024,2,1.0000,0.9982
8192,2048,2,1.0000,0.9967
8192,4096,2,1.0000,0.9930
