cache_size, block_size, associativity, inst_hit, data_hit
8192,8,2,0.9752,0.9798
8192,16,2,0.9863,0.9891
8192,32,2,0.9919,0.9938
8192,64,2,0.9950,0.9964
8192,128,2,0.9966,0.9978
8192,256,2,0.9972,0.9985
8192,512,2,0.9976,0.9988
8192,1024,2,0.9977,0.9990
8192,2048,2,0.9967,0.9991
8192,4096,2,0.9950,0.9975
