cache_size, block_size, associativity, inst_hit, data_hit
4,4,1,0.6379,0.2213
8,4,2,0.0068,0.3204
16,4,4,0.2229,0.6950
32,4,8,0.5059,0.9384
64,4,16,0.9334,0.9797
128,4,32,0.9885,0.9806
256,4,64,0.9885,0.9806
